                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     38,               0.057122,               0.019089,               0.020371,             0.00089104,               0.028789,               0.054054,               0.012157,              0.0044546,               0.028789,               0.054054,               0.012005,              0.0031516,               0.075016,                0.01261,               0.016016,             0.00057529,               0.009667,               0.009667,               0.009667
                     39,                0.05514,               0.020161,                0.01935,             0.00087693,                0.35162,                0.13514,                0.12421,                 0.0548,                0.27641,                0.10811,                0.10194,                0.05179,               0.069438,               0.016549,               0.017213,             0.00053169,               0.009658,               0.009658,               0.009658
                     40,               0.058391,               0.018093,               0.017958,              0.0008499,                0.36202,                0.27027,                0.22498,               0.076767,                0.36202,                0.27027,                0.22378,               0.074534,               0.061764,               0.014071,               0.016807,             0.00067371,               0.009649,               0.009649,               0.009649
                     41,               0.055763,               0.019709,               0.019134,             0.00084853,                0.33571,                0.18919,                0.18356,                0.07795,                0.38778,                0.21622,                0.20708,               0.081145,               0.062928,               0.013962,               0.016333,              0.0010332,                0.00964,                0.00964,                0.00964
                     42,               0.055517,               0.017087,               0.018105,             0.00072051,              0.0094932,               0.027027,               0.012511,              0.0029392,              0.0073529,                0.45946,               0.011888,              0.0026048,               0.081915,               0.014527,               0.017926,              0.0069012,               0.009631,               0.009631,               0.009631
                     43,               0.056581,               0.017236,               0.017655,              0.0007623,                 0.3382,                 0.2973,                0.23917,               0.079256,                0.24539,                 0.2973,                0.23928,               0.076566,               0.063332,               0.014207,               0.014373,             0.00078598,               0.009622,               0.009622,               0.009622
                     44,               0.056567,               0.017937,               0.018593,              0.0008253,                0.68038,                 0.2973,                0.33957,                0.12888,                0.61853,                0.27027,                0.30072,                0.10974,               0.062711,               0.012989,               0.013291,             0.00071342,               0.009613,               0.009613,               0.009613
                     45,               0.056291,                0.01761,                0.01736,             0.00084493,                0.29522,                0.16216,                0.15191,               0.055229,                0.29522,                0.16216,                0.15475,               0.050093,               0.069573,               0.013997,               0.014597,             0.00081036,               0.009604,               0.009604,               0.009604
                     46,                0.05472,               0.017307,               0.016633,             0.00085064,                0.74207,                0.27027,                0.36962,                0.13038,                0.74207,                0.27027,                0.35642,                0.12888,               0.057921,               0.010787,               0.013142,             0.00057049,               0.009595,               0.009595,               0.009595
                     47,               0.055122,               0.019492,                 0.0184,             0.00076708,                0.64835,                0.35135,                0.44618,                0.17301,                0.64835,                0.35135,                0.45206,                0.16952,               0.058506,               0.012157,               0.012545,             0.00060608,               0.009586,               0.009586,               0.009586
                     48,               0.052348,               0.017361,               0.017959,             0.00076725,                0.48262,                0.51351,                0.47016,                0.19035,                0.48262,                0.51351,                0.45892,                0.18389,               0.052212,               0.010669,               0.015361,             0.00065929,               0.009577,               0.009577,               0.009577
                     49,               0.053566,                0.01675,               0.016042,             0.00064991,                0.48966,                0.35135,                 0.3797,                0.14397,                0.48966,                0.35135,                0.37695,                0.14554,               0.055017,               0.012441,               0.015054,             0.00044443,               0.009568,               0.009568,               0.009568
                     50,                0.05264,                0.01815,               0.019066,             0.00084841,                0.22855,                0.13514,                0.11598,               0.037597,                0.22855,                0.13514,                0.11687,               0.036906,               0.065727,               0.012534,               0.017241,             0.00049313,               0.009559,               0.009559,               0.009559
                     51,               0.054713,               0.018147,               0.018159,             0.00065248,                0.28739,                0.16216,                0.13056,               0.039032,                0.28739,                0.16216,                0.13256,               0.041473,                 0.0672,               0.010835,               0.016131,             0.00046944,                0.00955,                0.00955,                0.00955
                     52,               0.053651,               0.017684,               0.018341,             0.00067912,               0.077491,               0.054054,               0.044671,               0.018666,                 0.1721,               0.081081,               0.058688,               0.031333,               0.078513,                0.12663,               0.018022,                0.07565,               0.009541,               0.009541,               0.009541
                     53,               0.053363,               0.018218,               0.018359,             0.00070698,               0.091614,               0.054054,               0.035756,               0.012352,               0.091614,               0.054054,               0.038652,              0.0098379,               0.076221,                0.05258,                0.01748,               0.023179,               0.009532,               0.009532,               0.009532
                     54,               0.053921,               0.019055,               0.016922,             0.00065155,                0.24197,                0.24324,                0.12413,               0.033309,                0.24197,                0.24324,                0.12458,               0.033229,               0.070482,               0.049722,               0.015341,               0.020219,               0.009523,               0.009523,               0.009523
                     55,               0.051387,               0.016262,               0.017557,             0.00071504,                0.26457,                0.32432,                0.16379,               0.040836,                0.22338,                0.35135,                0.15348,               0.047566,               0.061587,               0.011346,                0.01546,             0.00056007,               0.009514,               0.009514,               0.009514
                     56,               0.052475,                0.01642,               0.016237,             0.00065243,                0.50337,                0.48649,                0.46445,                0.15857,                0.82664,                0.37838,                0.49323,                0.16607,               0.053842,               0.011497,               0.012306,              0.0006332,               0.009505,               0.009505,               0.009505
