                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     48,               0.034721,               0.021935,               0.010998,                      0,                0.88883,                0.79959,                0.82275,                0.46733,                0.88883,                0.79959,                0.82275,                0.60612,               0.032864,               0.020235,              0.0064608,                      0,               0.009859,               0.009859,               0.009859
                     49,               0.033173,               0.019423,              0.0089169,                      0,                0.91214,                   0.75,                 0.8449,                0.57415,                0.91214,                   0.75,                0.83852,                0.56586,                0.03245,               0.019445,              0.0061076,                      0,               0.009856,               0.009856,               0.009856
                     50,               0.031959,               0.021374,              0.0098387,                      0,                0.72858,                    0.7,                0.62742,                0.42751,                0.80973,                    0.7,                0.76585,                0.49679,               0.033016,               0.021587,              0.0075649,                      0,               0.009853,               0.009853,               0.009853
                     51,               0.032397,               0.019906,              0.0092634,                      0,                0.86977,                   0.75,                0.78631,                0.51169,                0.86977,                   0.75,                0.79815,                0.55539,               0.031731,               0.020316,              0.0061897,                      0,                0.00985,                0.00985,                0.00985
                     52,               0.033781,               0.020934,              0.0096894,                      0,                0.82666,                    0.7,                0.69472,                0.41247,                0.82666,                    0.7,                0.69255,                0.43993,               0.034565,               0.024781,              0.0078266,                      0,               0.009847,               0.009847,               0.009847
                     53,               0.030475,               0.023056,               0.010477,                      0,                0.79092,                    0.7,                 0.6979,                0.44134,                0.72021,                   0.65,                0.63897,                0.42214,               0.031472,               0.026547,              0.0094688,                      0,               0.009844,               0.009844,               0.009844
                     54,               0.032445,               0.022667,               0.011507,                      0,                0.80413,                    0.8,                0.78862,                 0.5196,                0.80413,                    0.8,                0.77385,                0.57425,               0.031586,               0.020495,               0.007601,                      0,               0.009841,               0.009841,               0.009841
                     55,               0.032518,               0.021404,              0.0096301,                      0,                0.81865,                   0.75,                0.77358,                0.57506,                0.81865,                   0.75,                0.77845,                0.55834,               0.029565,               0.018399,              0.0071837,                      0,               0.009838,               0.009838,               0.009838
                     56,               0.032056,               0.021802,               0.010623,                      0,                0.94955,                   0.65,                0.75718,                 0.4644,                0.94955,                   0.65,                0.76113,                0.58708,               0.033251,               0.021802,              0.0074514,                      0,               0.009835,               0.009835,               0.009835
                     57,               0.031425,               0.021825,              0.0099223,                      0,                0.87509,                   0.75,                0.77474,                0.48513,                0.87509,                   0.75,                0.74588,                0.52982,               0.033842,               0.028519,              0.0070662,                      0,               0.009832,               0.009832,               0.009832
                     58,               0.029621,               0.022629,               0.010556,                      0,                0.59758,                    0.7,                0.64801,                0.42537,                0.59758,                    0.7,                0.64701,                0.43567,               0.031454,               0.025369,              0.0088013,                      0,               0.009829,               0.009829,               0.009829
                     59,               0.032615,               0.022661,               0.009881,                      0,                0.64019,                   0.75,                0.65963,                0.42461,                0.64019,                   0.75,                0.64698,                0.44998,               0.033909,               0.023696,              0.0083326,                      0,               0.009826,               0.009826,               0.009826
                     60,               0.031057,               0.022567,               0.010046,                      0,                0.79085,                    0.8,                0.75239,                 0.5425,                0.79085,                    0.8,                0.75239,                0.53598,               0.029866,               0.023974,              0.0062171,                      0,               0.009823,               0.009823,               0.009823
                     61,               0.031796,               0.023578,               0.011512,                      0,                0.87888,                   0.75,                0.71896,                0.45086,                0.87888,                   0.75,                0.71896,                0.50728,               0.035101,               0.024189,              0.0086597,                      0,                0.00982,                0.00982,                0.00982
                     62,               0.032748,               0.021325,               0.010195,                      0,                 0.6961,                0.68765,                0.64703,                0.43523,                0.69501,                0.68419,                0.65388,                0.44264,                0.03388,               0.029085,               0.010044,                      0,               0.009817,               0.009817,               0.009817
                     63,               0.033183,               0.023752,               0.011155,                      0,                0.85588,                    0.7,                0.74369,                0.50678,                0.85588,                    0.7,                0.74816,                0.51416,               0.031973,               0.024362,              0.0084368,                      0,               0.009814,               0.009814,               0.009814
                     64,               0.028711,               0.022034,               0.010211,                      0,                0.78536,                   0.65,                0.69823,                0.44429,                0.78536,                   0.65,                0.69664,                0.48783,               0.034039,               0.025478,              0.0097185,                      0,               0.009811,               0.009811,               0.009811
                     65,               0.030433,               0.021728,               0.010154,                      0,                0.88824,                  0.795,                0.76924,                0.48394,                0.89269,                0.83251,                 0.8018,                0.56356,               0.031929,                0.01789,               0.006137,                      0,               0.009808,               0.009808,               0.009808
                     66,               0.028637,               0.020146,              0.0089449,                      0,                0.83078,                    0.8,                0.81607,                0.56172,                0.83078,                    0.8,                0.81607,                0.61266,               0.031776,                0.02022,              0.0064274,                      0,               0.009805,               0.009805,               0.009805
                     67,               0.031351,               0.022567,               0.011154,                      0,                0.80084,                   0.85,                0.81346,                0.54674,                0.80084,                   0.85,                0.81579,                0.62297,               0.030178,               0.022213,              0.0067184,                      0,               0.009802,               0.009802,               0.009802
                     68,               0.030692,               0.021133,               0.010201,                      0,                      1,                0.73306,                0.83378,                0.55013,                      1,                0.73306,                0.83503,                0.60669,               0.027484,               0.018553,              0.0066831,                      0,               0.009799,               0.009799,               0.009799
                     69,               0.030216,               0.019951,              0.0093426,                      0,                 0.8663,                   0.75,                0.83696,                0.55784,                 0.8663,                   0.75,                0.83835,                0.62305,               0.027713,               0.019275,              0.0065302,                      0,               0.009796,               0.009796,               0.009796
                     70,               0.032858,               0.022051,               0.010884,                      0,                0.98946,                   0.75,                0.84551,                0.54287,                0.98946,                   0.75,                0.82701,                0.62048,               0.027693,                0.01855,              0.0061931,                      0,               0.009793,               0.009793,               0.009793
                     71,               0.030592,               0.023499,               0.011174,                      0,                0.88393,                   0.65,                0.75078,                0.42307,                0.88393,                   0.65,                0.76321,                0.54482,               0.033169,               0.023877,              0.0082352,                      0,                0.00979,                0.00979,                0.00979
